category,city,merchant_id,name,popularity
Entertainment,Pune,M0001,Synthetic_Merchant_1,0.5773220430173975
Travel,Pune,M0002,Synthetic_Merchant_2,0.7669178500896412
Travel,Delhi,M0003,Synthetic_Merchant_3,0.6975204558192913
Travel,Pune,M0004,Synthetic_Merchant_4,0.32374943701774805
Food,Pune,M0005,Synthetic_Merchant_5,0.7774816303306267
Food,Bangalore,M0006,Synthetic_Merchant_6,0.6704824213111449
Food,Pune,M0007,Synthetic_Merchant_7,0.7661473586280408
Entertainment,Mumbai,M0008,Synthetic_Merchant_8,0.7380504134011965
Travel,Bangalore,M0009,Synthetic_Merchant_9,0.5465797057659376
Shopping,Pune,M0010,Synthetic_Merchant_10,0.5666930848244053
Electronics,Hyderabad,M0011,Synthetic_Merchant_11,0.6478219495829567
Electronics,Delhi,M0012,Synthetic_Merchant_12,0.9131323849259418
Electronics,Hyderabad,M0013,Synthetic_Merchant_13,0.43105549252677067
Travel,Mumbai,M0014,Synthetic_Merchant_14,0.3443943109749028
Entertainment,Delhi,M0015,Synthetic_Merchant_15,0.47676498260177147
Food,Delhi,M0016,Synthetic_Merchant_16,0.5403970470173665
Travel,Delhi,M0017,Synthetic_Merchant_17,0.8474498334032423
Electronics,Bangalore,M0018,Synthetic_Merchant_18,0.9956569861120803
Electronics,Delhi,M0019,Synthetic_Merchant_19,0.770600119027095
Electronics,Bangalore,M0020,Synthetic_Merchant_20,0.7882817654071137
Fuel,Delhi,M0021,Synthetic_Merchant_21,0.36788943357405984
Travel,Bangalore,M0022,Synthetic_Merchant_22,0.7181265441511211
Food,Delhi,M0023,Synthetic_Merchant_23,0.48180224405044525
Fuel,Bangalore,M0024,Synthetic_Merchant_24,0.5929797586438135
Entertainment,Mumbai,M0025,Synthetic_Merchant_25,0.4287292493954936
Travel,Mumbai,M0026,Synthetic_Merchant_26,0.8748661264470283
Food,Pune,M0027,Synthetic_Merchant_27,0.35482458374626125
Shopping,Bangalore,M0028,Synthetic_Merchant_28,0.7057219394738299
Fuel,Pune,M0029,Synthetic_Merchant_29,0.3305739303119466
Fuel,Delhi,M0030,Synthetic_Merchant_30,0.9553343819398297
Electronics,Delhi,M0031,Synthetic_Merchant_31,0.6915063383646978
Food,Delhi,M0032,Synthetic_Merchant_32,0.9515107454073257
Electronics,Delhi,M0033,Synthetic_Merchant_33,0.6988879147521181
Food,Pune,M0034,Synthetic_Merchant_34,0.7560193039954772
Shopping,Pune,M0035,Synthetic_Merchant_35,0.7747653442442852
Entertainment,Bangalore,M0036,Synthetic_Merchant_36,0.7092131816916933
Entertainment,Delhi,M0037,Synthetic_Merchant_37,0.5520185075650391
Shopping,Bangalore,M0038,Synthetic_Merchant_38,0.31116879319134777
Shopping,Pune,M0039,Synthetic_Merchant_39,0.3161461676754407
Electronics,Pune,M0040,Synthetic_Merchant_40,0.6854123630842903
Entertainment,Pune,M0041,Synthetic_Merchant_41,0.4164660199842766
Fuel,Hyderabad,M0042,Synthetic_Merchant_42,0.695746279266328
Entertainment,Pune,M0043,Synthetic_Merchant_43,0.9697880391776328
Food,Pune,M0044,Synthetic_Merchant_44,0.8979125990536143
Shopping,Mumbai,M0045,Synthetic_Merchant_45,0.9867790132845449
Electronics,Bangalore,M0046,Synthetic_Merchant_46,0.5329793470299362
Electronics,Pune,M0047,Synthetic_Merchant_47,0.8936668644149841
Electronics,Delhi,M0048,Synthetic_Merchant_48,0.7358963030957253
Fuel,Pune,M0049,Synthetic_Merchant_49,0.5355347681427122
Shopping,Delhi,M0050,Synthetic_Merchant_50,0.45663772138550357
Fuel,Delhi,M0051,Synthetic_Merchant_51,0.9547754157159456
Shopping,Mumbai,M0052,Synthetic_Merchant_52,0.6322829999149655
Food,Delhi,M0053,Synthetic_Merchant_53,0.7329915533318753
Food,Mumbai,M0054,Synthetic_Merchant_54,0.9268771546511587
Fuel,Delhi,M0055,Synthetic_Merchant_55,0.6450447747509878
Shopping,Delhi,M0056,Synthetic_Merchant_56,0.36444708537977877
Entertainment,Mumbai,M0057,Synthetic_Merchant_57,0.7820839810157726
Fuel,Bangalore,M0058,Synthetic_Merchant_58,0.9189729750964666
Shopping,Pune,M0059,Synthetic_Merchant_59,0.5887114994688765
Food,Delhi,M0060,Synthetic_Merchant_60,0.6940852716126609
Electronics,Bangalore,M0061,Synthetic_Merchant_61,0.3831523501276373
Shopping,Mumbai,M0062,Synthetic_Merchant_62,0.4327037346896567
Food,Bangalore,M0063,Synthetic_Merchant_63,0.8412763909260439
Electronics,Pune,M0064,Synthetic_Merchant_64,0.3684448846164242
Travel,Hyderabad,M0065,Synthetic_Merchant_65,0.6462178733759154
Entertainment,Hyderabad,M0066,Synthetic_Merchant_66,0.8042909264864504
Entertainment,Delhi,M0067,Synthetic_Merchant_67,0.3803315438937751
Food,Delhi,M0068,Synthetic_Merchant_68,0.6955351293160196
Entertainment,Pune,M0069,Synthetic_Merchant_69,0.9051619544449889
Shopping,Bangalore,M0070,Synthetic_Merchant_70,0.6360216660206532
Entertainment,Delhi,M0071,Synthetic_Merchant_71,0.31909851703334013
Shopping,Bangalore,M0072,Synthetic_Merchant_72,0.855422148468137
Fuel,Pune,M0073,Synthetic_Merchant_73,0.6307603857500137
Travel,Hyderabad,M0074,Synthetic_Merchant_74,0.5424519130322221
Shopping,Bangalore,M0075,Synthetic_Merchant_75,0.5267439842717894
Entertainment,Mumbai,M0076,Synthetic_Merchant_76,0.32772767943779224
Fuel,Pune,M0077,Synthetic_Merchant_77,0.9162521017487635
Fuel,Pune,M0078,Synthetic_Merchant_78,0.6390097679322304
Fuel,Bangalore,M0079,Synthetic_Merchant_79,0.46898605536088417
Electronics,Delhi,M0080,Synthetic_Merchant_80,0.3773651704069761
Shopping,Bangalore,M0081,Synthetic_Merchant_81,0.3354986307980615
Electronics,Mumbai,M0082,Synthetic_Merchant_82,0.355413351137827
Entertainment,Mumbai,M0083,Synthetic_Merchant_83,0.37890375525198094
Entertainment,Mumbai,M0084,Synthetic_Merchant_84,0.794388085168807
Travel,Pune,M0085,Synthetic_Merchant_85,0.9820377109929523
Travel,Pune,M0086,Synthetic_Merchant_86,0.7637947610817675
Fuel,Pune,M0087,Synthetic_Merchant_87,0.44800417966655104
Electronics,Mumbai,M0088,Synthetic_Merchant_88,0.8167027577450785
Electronics,Delhi,M0089,Synthetic_Merchant_89,0.3891940844679509
Fuel,Pune,M0090,Synthetic_Merchant_90,0.5709012769551236
Food,Bangalore,M0091,Synthetic_Merchant_91,0.42221745338753325
Shopping,Delhi,M0092,Synthetic_Merchant_92,0.6898541088537553
Fuel,Pune,M0093,Synthetic_Merchant_93,0.6542287362994146
Entertainment,Mumbai,M0094,Synthetic_Merchant_94,0.9956901070256612
Food,Pune,M0095,Synthetic_Merchant_95,0.8284281691915545
Fuel,Bangalore,M0096,Synthetic_Merchant_96,0.6810727772521521
Shopping,Hyderabad,M0097,Synthetic_Merchant_97,0.9897370435826838
Electronics,Pune,M0098,Synthetic_Merchant_98,0.5491535912277412
Travel,Pune,M0099,Synthetic_Merchant_99,0.41028419656164433
Travel,Hyderabad,M0100,Synthetic_Merchant_100,0.7429912646581952
Travel,Delhi,M0101,Synthetic_Merchant_101,0.5790027566446196
Electronics,Delhi,M0102,Synthetic_Merchant_102,0.37207963105632536
Fuel,Pune,M0103,Synthetic_Merchant_103,0.7063570034426984
Electronics,Bangalore,M0104,Synthetic_Merchant_104,0.3468148164270765
Travel,Mumbai,M0105,Synthetic_Merchant_105,0.6766485429625345
Food,Hyderabad,M0106,Synthetic_Merchant_106,0.41360200459866114
Travel,Bangalore,M0107,Synthetic_Merchant_107,0.6042083982220213
Entertainment,Hyderabad,M0108,Synthetic_Merchant_108,0.87891533505096
Entertainment,Bangalore,M0109,Synthetic_Merchant_109,0.5959218444130892
Entertainment,Pune,M0110,Synthetic_Merchant_110,0.43850047155766503
Fuel,Delhi,M0111,Synthetic_Merchant_111,0.963485032688153
Food,Hyderabad,M0112,Synthetic_Merchant_112,0.6647330607108046
Electronics,Pune,M0113,Synthetic_Merchant_113,0.982930705449087
Food,Hyderabad,M0114,Synthetic_Merchant_114,0.31566071327766926
Entertainment,Hyderabad,M0115,Synthetic_Merchant_115,0.6008145581200969
Entertainment,Delhi,M0116,Synthetic_Merchant_116,0.9981507538380079
Food,Bangalore,M0117,Synthetic_Merchant_117,0.6934493027377145
Food,Pune,M0118,Synthetic_Merchant_118,0.7725633227797655
Shopping,Pune,M0119,Synthetic_Merchant_119,0.980941782433163
Food,Delhi,M0120,Synthetic_Merchant_120,0.6316212715657594
